lsoa_code,traj,traj_titles
E01024122,B,"N = 8,124 (26%)"
E01024123,A,"N = 23,924 (72%)"
E01024124,B,"N = 8,124 (26%)"
E01024126,A,"N = 23,924 (72%)"
E01024127,A,"N = 23,924 (72%)"
E01024128,B,"N = 8,124 (26%)"
E01024129,B,"N = 8,124 (26%)"
E01024130,B,"N = 8,124 (26%)"
E01024131,A,"N = 23,924 (72%)"
E01024132,A,"N = 23,924 (72%)"
E01024133,B,"N = 8,124 (26%)"
E01024134,A,"N = 23,924 (72%)"
E01024135,B,"N = 8,124 (26%)"
E01024136,B,"N = 8,124 (26%)"
E01024137,B,"N = 8,124 (26%)"
E01024138,B,"N = 8,124 (26%)"
E01024139,A,"N = 23,924 (72%)"
E01024140,B,"N = 8,124 (26%)"
E01024141,A,"N = 23,924 (72%)"
E01024142,B,"N = 8,124 (26%)"
E01024143,B,"N = 8,124 (26%)"
E01024144,A,"N = 23,924 (72%)"
E01024145,B,"N = 8,124 (26%)"
E01024146,A,"N = 23,924 (72%)"
E01024147,A,"N = 23,924 (72%)"
E01024148,C,"N = 5,664 (3%)"
E01024149,B,"N = 8,124 (26%)"
E01024150,A,"N = 23,924 (72%)"
E01024151,A,"N = 23,924 (72%)"
E01024152,B,"N = 8,124 (26%)"
E01024153,A,"N = 23,924 (72%)"
E01024154,A,"N = 23,924 (72%)"
E01024155,B,"N = 8,124 (26%)"
E01024156,B,"N = 8,124 (26%)"
E01024157,A,"N = 23,924 (72%)"
E01024158,A,"N = 23,924 (72%)"
E01024159,A,"N = 23,924 (72%)"
E01024160,A,"N = 23,924 (72%)"
E01024161,B,"N = 8,124 (26%)"
E01024162,C,"N = 5,664 (3%)"
E01024163,A,"N = 23,924 (72%)"
E01024164,B,"N = 8,124 (26%)"
E01024165,B,"N = 8,124 (26%)"
E01024166,A,"N = 23,924 (72%)"
E01024167,B,"N = 8,124 (26%)"
E01024168,A,"N = 23,924 (72%)"
E01024169,A,"N = 23,924 (72%)"
E01024170,B,"N = 8,124 (26%)"
E01024171,B,"N = 8,124 (26%)"
E01024172,C,"N = 5,664 (3%)"
E01024173,A,"N = 23,924 (72%)"
E01024174,A,"N = 23,924 (72%)"
E01024175,A,"N = 23,924 (72%)"
E01024176,B,"N = 8,124 (26%)"
E01024177,B,"N = 8,124 (26%)"
E01024178,B,"N = 8,124 (26%)"
E01024179,C,"N = 5,664 (3%)"
E01024180,B,"N = 8,124 (26%)"
E01024181,B,"N = 8,124 (26%)"
E01024182,C,"N = 5,664 (3%)"
E01024183,A,"N = 23,924 (72%)"
E01024184,A,"N = 23,924 (72%)"
E01024185,A,"N = 23,924 (72%)"
E01024186,A,"N = 23,924 (72%)"
E01024187,A,"N = 23,924 (72%)"
E01024188,A,"N = 23,924 (72%)"
E01024189,A,"N = 23,924 (72%)"
E01024190,A,"N = 23,924 (72%)"
E01024191,B,"N = 8,124 (26%)"
E01024192,A,"N = 23,924 (72%)"
E01024193,B,"N = 8,124 (26%)"
E01024194,A,"N = 23,924 (72%)"
E01024195,A,"N = 23,924 (72%)"
E01024196,B,"N = 8,124 (26%)"
E01024197,B,"N = 8,124 (26%)"
E01024198,A,"N = 23,924 (72%)"
E01024200,A,"N = 23,924 (72%)"
E01024201,A,"N = 23,924 (72%)"
E01024202,A,"N = 23,924 (72%)"
E01024203,A,"N = 23,924 (72%)"
E01024204,A,"N = 23,924 (72%)"
E01024205,A,"N = 23,924 (72%)"
E01024206,A,"N = 23,924 (72%)"
E01024207,A,"N = 23,924 (72%)"
E01024208,A,"N = 23,924 (72%)"
E01024209,A,"N = 23,924 (72%)"
E01024212,A,"N = 23,924 (72%)"
E01024213,A,"N = 23,924 (72%)"
E01024214,B,"N = 8,124 (26%)"
E01024215,C,"N = 5,664 (3%)"
E01024216,A,"N = 23,924 (72%)"
E01024217,B,"N = 8,124 (26%)"
E01024218,B,"N = 8,124 (26%)"
E01024219,A,"N = 23,924 (72%)"
E01024220,A,"N = 23,924 (72%)"
E01024221,A,"N = 23,924 (72%)"
E01024222,A,"N = 23,924 (72%)"
E01024223,A,"N = 23,924 (72%)"
